timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1774592971,0.50,1.00,0.00,98.50
1774592972,0.50,1.00,0.00,98.50
1774592973,0.50,1.50,0.00,98.00
1774592974,0.50,1.00,0.00,98.51
1774592975,0.00,0.51,0.00,99.49
1774592976,0.50,1.01,0.00,98.49
1774592977,0.00,1.00,0.00,99.00
1774592978,0.50,1.49,0.00,98.01
1774592979,1.00,1.00,0.00,98.01
1774592980,0.00,1.50,0.00,98.00
1774592981,0.50,1.00,0.00,98.51
1774592982,0.50,0.50,0.50,98.49
1774592983,0.50,0.50,0.00,98.99
1774592984,0.00,1.00,0.00,99.00
1774592985,0.50,0.50,0.00,98.99
1774592986,0.00,1.01,0.00,98.99
1774592987,0.50,1.00,0.00,98.51
1774592988,0.50,1.00,0.00,98.50
1774592989,0.00,1.00,0.00,99.00
1774592990,0.51,0.51,0.00,98.99
1774592991,0.00,1.00,0.00,99.00
1774592992,1.00,1.00,0.00,98.00
1774592993,0.50,1.50,0.00,98.00
1774592994,0.50,1.00,0.00,98.50
1774592995,0.00,1.00,0.00,99.00
1774592996,0.50,1.01,0.00,98.49
1774592997,0.50,1.00,0.00,98.51
1774592998,0.00,1.01,0.00,98.99
1774592999,1.00,1.00,0.00,98.01
1774593000,0.50,1.00,0.00,98.51
1774593001,0.50,1.01,0.00,98.49
1774593002,0.50,1.49,0.00,98.02
1774593003,0.50,1.01,0.00,98.49
1774593004,0.50,1.00,0.00,98.50
1774593005,0.50,1.49,0.00,98.01
1774593006,0.50,0.50,0.00,98.99
1774593007,0.51,4.55,0.00,94.95
1774593008,0.50,1.00,0.00,98.51
1774593009,0.00,1.01,0.00,98.99
1774593011,0.00,1.00,0.00,99.00
